"NAME OF COMPANY","TOTAL NO. OF ISSUED SHARES A+B+C","TOTAL PROMOTER HOLDING NO. OF SHARES (A)","TOTAL PROMOTER HOLDING % A /(A+B+C)","TOTAL PUBLIC HOLDING (%)B","PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER NO. OF SHARES (X)","PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER % OF PROMOTER SHARES (X/A)","PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER % OF TOTAL SHARES [X/(A+B+C)]","DISCLOSURE MADE BY PROMOTERS","NO. OF SHARES PLEDGED IN THE DEPOSITORY SYSTEM NO. OF SHARES PLEDGED","NO. OF SHARES PLEDGED IN THE DEPOSITORY SYSTEM TOTAL NO. OF DEMAT SHARES","(%) PLEDGE / DEMAT"
"Transport Corporation of India Limited","76996400","51384393","    66.74","25612007","0","     0.00","     0.00","23-Nov-2020 11:30:18","614677","75567890","0.81"
"Transwarranty Finance Limited","24460568","13114927","    53.62","11345641","0","     0.00","     0.00","23-Nov-2020 11:30:23","159846","24427825","0.65"
"Tree House Education & Accessories Limited","42310724","8690069","    20.54","33620655","8642169","    99.45","    20.43","23-Nov-2020 11:30:29","10376141","42300720","24.53"
"Trent Limited","355487461","131550881","    37.01","223936580","0","     0.00","     0.00","23-Nov-2020 11:30:05","4703178","351839767","1.34"
"Trident Limited","5095955670","3661128805","    71.84","1434826865","0","     0.00","     0.00","23-Nov-2020 11:30:18","64081694","5071040950","1.26"
"Trigyn Technologies Limited","30785736","13701877","    44.51","17083859","0","     0.00","     0.00","23-Nov-2020 11:30:16","1004754","30706867","3.27"
"Triveni Engineering & Industries Limited","247945110","169462677","    68.35","78482433","0","     0.00","     0.00","23-Nov-2020 11:30:21","7943119","241626885","3.29"
"Triveni Turbine Limited","323305484","219142811","    67.78","104162673","0","     0.00","     0.00","23-Nov-2020 11:30:29","651081","323218649","0.2"
"Tube Investments of India Limited","187933615","89976189","    47.88","97957426","33200","     0.04","     0.02","23-Nov-2020 11:30:32","1057795","186822334","0.57"
"Tulsi Extrusions Limited","27494610","7114286","    25.88","20380324","3400000","    47.79","    12.37","23-Nov-2020 11:30:25","3542269","27493487","12.88"
"UCO Bank","9918340622","9367292970","    94.44","551047652","0","     0.00","     0.00","23-Nov-2020 11:30:19","15115473","9907881285","0.15"
"UFLEX Limited","72211486","31784239","    44.02","40427247","965000","     3.04","     1.34","23-Nov-2020 11:30:10","2252505","71795207","3.14"
"UFO Moviez India Limited","28350801","8656040","    30.53","19694761","2266417","    26.18","     7.99","23-Nov-2020 11:30:31","3598492","28329728","12.7"
"UPL Limited","764045456","213021012","    27.88","551024444","4100000","     1.92","     0.54","23-Nov-2020 11:30:19","6722900","757741277","0.89"
"Ucal Fuel Systems Limited","22113625","15553260","    70.33","6560365","1326000","     8.53","     6.00","23-Nov-2020 11:30:11","1810045","21991368","8.23"
"Ujaas Energy Limited","200290000","71776400","    35.84","128513600","0","     0.00","     0.00","23-Nov-2020 11:30:29","6129018","200289880","3.06"
"UltraTech Cement Limited","288626076","173118484","    59.98","115507592","0","     0.00","     0.00","23-Nov-2020 11:30:20","760897","285151623","0.27"
"Unichem Laboratories Limited","70405750","35861015","    50.93","34544735","0","     0.00","     0.00","23-Nov-2020 11:30:09","1320072","68341651","1.93"
"Union Bank of India","6406844355","5706660850","    89.07","700183505","0","     0.00","     0.00","23-Nov-2020 11:30:19","31202232","6390451602","0.49"
"Uniphos Enterprises Limited","69545849","50209695","    72.20","19336154","0","     0.00","     0.00","23-Nov-2020 11:30:19","386704","69022962","0.56"
"Uniply Industries Limited","167647400","31913270","    19.04","135734130","20316285","    63.66","    12.12","23-Nov-2020 11:30:23","7085691","165209465","4.29"
"Unitech Limited","2616301047","134257674","     5.13","2482043373","5001000","     3.72","     0.19","23-Nov-2020 11:30:09","93221592","2604217769","3.58"
"United Breweries Limited","264405149","152616785","    57.72","111788364","27781574","    18.20","    10.51","23-Nov-2020 11:30:26","28248098","262953627","10.74"
"United Drilling Tools Limited","20303126","15156660","    74.65","5146466","600000","     3.96","     2.96","23-Nov-2020 11:30:32","652752","19225561","3.4"
"United Spirits Limited","726638715","412410600","    56.76","314228115","4897335","     1.19","     0.67","23-Nov-2020 11:30:18","39417019","722464155","5.46"
"Unity Infraprojects Limited","120876802","72885284","    60.30","47991518","72863784","    99.97","    60.28","23-Nov-2020 11:30:22","74367267","120865546","61.53"
"Universal Cables Limited","34695381","21472949","    61.89","13222432","0","     0.00","     0.00","23-Nov-2020 11:30:11","753933","34258605","2.2"
"Usha Martin Education & Solutions Limited","26415811","11328540","    42.89","15087271","0","     0.00","     0.00","23-Nov-2020 11:30:27","344684","25830810","1.33"
"Usha Martin Limited","304742010","163171794","    53.54","141570216","79232864","    48.56","    26.00","23-Nov-2020 11:30:18","91727504","303735765","30.2"
"Uttam Galva Steels Limited","142260103","86331124","    60.69","55928979","0","     0.00","     0.00","23-Nov-2020 11:30:09","2811141","140881875","2"
"Uttam Sugar Mills Limited","38138120","28603585","    75.00","9534535","9484170","    33.16","    24.87","23-Nov-2020 11:30:22","9838048","37757025","26.06"
"Uttam Value Steels Limited","6608076335","3047361160","    46.12","3560715175","0","     0.00","     0.00","23-Nov-2020 11:30:31","127840348","6517523975","1.96"
"V-Mart Retail Limited","18173586","9232279","    50.80","8941307","25000","     0.27","     0.14","23-Nov-2020 11:30:30","70533","18173484","0.39"
"V.S.T Tillers Tractors Limited","8639528","4731790","    54.77","3907738","0","     0.00","     0.00","23-Nov-2020 11:30:29","149017","8518918","1.75"
"V2 Retail Limited","34105026","18286337","    53.62","15818689","0","     0.00","     0.00","23-Nov-2020 11:30:24","1625443","34034936","4.78"
"VA Tech Wabag Limited","62190428","13495522","    21.70","48694906","0","     0.00","     0.00","23-Nov-2020 11:30:28","4456697","62189762","7.17"
"VIP Clothing Limited","82596519","43745373","    52.96","38851146","0","     0.00","     0.00","23-Nov-2020 11:30:17","1789379","81367519","2.2"
"VIP Industries Limited","141317315","75544637","    53.46","65772678","0","     0.00","     0.00","23-Nov-2020 11:30:08","5479233","138549161","3.95"
"VLS Finance Limited","38662017","17650491","    45.65","21011526","0","     0.00","     0.00","23-Nov-2020 11:30:08","640131","35805473","1.79"
"VRL Logistics Limited","90343495","61480000","    68.05","28863495","0","     0.00","     0.00","23-Nov-2020 11:30:31","645152","90343439","0.71"
"VST Industries Limited","15441920","4965902","    32.16","10476018","0","     0.00","     0.00","23-Nov-2020 11:30:10","96881","15101341","0.64"
"Vadilal Industries Limited","7187830","4652156","    64.72","2535674","0","     0.00","     0.00","23-Nov-2020 11:30:28","577268","7011626","8.23"
"Vaibhav Global Limited","32464255","18976955","    58.45","13487300","0","     0.00","     0.00","23-Nov-2020 11:30:19","303202","32454422","0.93"
"Vakrangee Limited","1059405640","451353165","    42.60","608052475","0","     0.00","     0.00","23-Nov-2020 11:30:22","112523275","1058002616","10.64"
"Valecha Engineering Limited","22530025","4076676","    18.09","18453349","1211539","    29.72","     5.38","23-Nov-2020 11:30:22","585518","22168192","2.64"
"Value Industries Limited","39185675","18322416","    46.76","20863259","0","     0.00","     0.00","23-Nov-2020 11:30:07","284578","34968293","0.81"
"Vardhman Acrylics Limited","80363746","60249160","    74.97","20114586","0","     0.00","     0.00","23-Nov-2020 11:30:19","800475","80362326","1"
"Vardhman Holdings Limited","3191536","2390441","    74.90","801095","0","     0.00","     0.00","23-Nov-2020 11:30:21","129897","3141488","4.13"
"Vardhman Polytex Limited","22290957","13414652","    60.18","8876305","10931202","    81.49","    49.04","23-Nov-2020 11:30:14","11210481","21972677","51.02"
"Vardhman Special Steels Limited","40394502","23968591","    59.34","16425911","0","     0.00","     0.00","23-Nov-2020 11:30:29","656187","40207094","1.63"
"Vardhman Textiles Limited","57518760","35801168","    62.24","21717592","0","     0.00","     0.00","23-Nov-2020 11:30:08","593018","56857335","1.04"
"Varun Beverages Limited","288688720","191691041","    66.40","96997679","0","     0.00","     0.00","23-Nov-2020 11:30:31","3657799","288688429","1.27"
"Vascon Engineers Limited","178136716","64476459","    36.19","113660257","16130672","    25.02","     9.06","23-Nov-2020 11:30:27","20214713","178136714","11.35"
"Vaswani Industries Limited","30000000","17500000","    58.33","12500000","0","     0.00","     0.00","23-Nov-2020 11:30:29","408196","29999980","1.36"
"Vedanta Limited","3717196639","1877011294","    50.50","1840185345","1863458132","    99.28","    50.13","23-Nov-2020 11:30:07","46996393","3707525187","1.27"
"Venky's (India) Limited","14087336","7903966","    56.11","6183370","0","     0.00","     0.00","23-Nov-2020 11:30:13","642840","13645768","4.71"
"Venus Remedies Limited","12341988","4430050","    35.89","7911938","4430000","   100.00","    35.89","23-Nov-2020 11:30:23","5364820","12201350","43.97"
"Vesuvius India Limited","20296080","11277650","    55.57","9018430","0","     0.00","     0.00","23-Nov-2020 11:30:13","147453","20035150","0.74"
"Viceroy Hotels Limited","42405224","8057091","    19.00","34348133","5432707","    67.43","    12.81","23-Nov-2020 11:30:24","2220207","41041048","5.41"
"Videocon Industries Limited","334458875","135759665","    40.59","198699210","133264547","    98.16","    39.84","23-Nov-2020 11:30:11","137070270","332819046","41.18"
"Vijay Shanthi Builders Limited","26188670","10003199","    38.20","16185471","0","     0.00","     0.00","23-Nov-2020 11:30:26","112698","24780912","0.45"
"Viji Finance Limited","82500000","43090474","    52.23","39409526","3012000","     6.99","     3.65","23-Nov-2020 11:30:31","469156","81309400","0.58"
"Vikas EcoTech Limited","279899675","89205505","    31.87","190694170","0","     0.00","     0.00","23-Nov-2020 11:30:29","14001369","277445284","5.05"
"Vimal Oil & Foods Limited","15020000","10892500","    72.52","4127500","6081400","    55.83","    40.49","23-Nov-2020 11:30:30","6094644","14724475","41.39"
"Vimta Labs Limited","22107810","8281483","    37.46","13826327","0","     0.00","     0.00","23-Nov-2020 11:30:21","338802","21844081","1.55"
"Vinati Organics Limited","102782050","76121192","    74.06","26660858","0","     0.00","     0.00","23-Nov-2020 11:30:26","763746","101386040","0.75"
"Vindhya Telelinks Limited","11850863","5160205","    43.54","6690658","0","     0.00","     0.00","23-Nov-2020 11:30:08","504194","11602321","4.35"
"Vinyl Chemicals (India) Limited","18337111","9282161","    50.62","9054950","0","     0.00","     0.00","23-Nov-2020 11:30:26","274382","17540294","1.56"
"Vipul Limited","119984480","76108717","    63.43","43875763","50200000","    65.96","    41.84","23-Nov-2020 11:30:31","54595274","119639725","45.63"
"Visa Steel Limited","115789500","68175000","    58.88","47614500","68175000","   100.00","    58.88","23-Nov-2020 11:30:22","68370068","109999495","62.15"
"Visagar Polytex Limited","292700534","73539192","    25.12","219161342","13800000","    18.77","     4.71","23-Nov-2020 11:30:30","15743335","292136028","5.39"
"Visaka Industries Limited","16080952","7156182","    44.50","8924770","711000","     9.94","     4.42","23-Nov-2020 11:30:15","2359950","15811794","14.93"
"Visesh Infotecnics Limited","3774436655","1203511967","    31.89","2570924688","788864667","    65.55","    20.90","23-Nov-2020 11:30:17","822204062","3765625369","21.83"
"Vishnu Chemicals Limited","11946020","8959506","    75.00","2986514","3699687","    41.29","    30.97","23-Nov-2020 11:30:30","3855350","11752086","32.81"
"Visu International Limited","38330000","5527974","    14.42","32802026","0","     0.00","     0.00","23-Nov-2020 11:30:23","179776","37973287","0.47"
"Vivimed Labs Limited","82913915","27189927","    32.79","55723988","16339225","    60.09","    19.71","23-Nov-2020 11:30:21","13224429","81300705","16.27"
"Vodafone Idea Limited","28735389240","20703918082","    72.05","8031471158","0","     0.00","     0.00","23-Nov-2020 11:30:23","852911293","28735377545","2.97"
"Voltamp Transformers Limited","10117120","5058561","    50.00","5058559","0","     0.00","     0.00","23-Nov-2020 11:30:22","145881","10117117","1.44"
"Voltas Limited","330884740","100253480","    30.30","230631260","0","     0.00","     0.00","23-Nov-2020 11:30:07","1577906","325032137","0.49"
"W S Industries (I) Limited","26260607","9898485","    37.69","16362122","2970000","    30.00","    11.31","23-Nov-2020 11:30:10","3125321","25618654","12.2"
"WABCO India Limited","18967584","17660459","    93.11","1307125",,,,"23-Nov-2020 11:30:26","45532","18861572","0.24"
"Walchandnagar Industries Limited","38070205","20938613","    55.00","17131592","20552203","    98.15","    53.99","23-Nov-2020 11:30:12","21790552","37521645","58.07"
"Wanbury Limited","25015117","13029561","    52.09","11985556","10001804","    76.76","    39.98","23-Nov-2020 11:30:23","10322008","21756206","47.44"
"Websol Energy System Limited","30594623","7714922","    25.22","22879701","5419000","    70.24","    17.71","23-Nov-2020 11:30:24","1092555","30252731","3.61"
"Weizmann Limited","17271536","11918435","    69.01","5353101","0","     0.00","     0.00","23-Nov-2020 11:30:09","41217","16826341","0.24"
"Welspun Corp Limited","260884395","125797154","    48.22","135087241","0","     0.00","     0.00","23-Nov-2020 11:30:20","22450479","260599553","8.61"
"Welspun Enterprises Limited","148683056","74725003","    50.26","73958053","0","     0.00","     0.00","23-Nov-2020 11:30:20","15350783","148597749","10.33"
"Welspun India Limited","1004725150","703333462","    70.00","301391688","0","     0.00","     0.00","23-Nov-2020 11:30:19","23617989","1000923900","2.36"
"Welspun Investments and Commercials Limited","3654476","2725574","    74.58","928902","0","     0.00","     0.00","23-Nov-2020 11:30:28","11693","3629505","0.32"
"Wendt (India) Limited","2000000","1594704","    79.74","405296","0","     0.00","     0.00","23-Nov-2020 11:30:15","12183","1974080","0.62"
"West Coast Paper Mills Limited","66048908","37102551","    56.17","28946357","0","     0.00","     0.00","23-Nov-2020 11:30:13","2998616","64929646","4.62"
"Wheels India Limited","24064558","13258773","    55.10","10805785","0","     0.00","     0.00","23-Nov-2020 11:30:03","99841","23862054","0.42"
"Whirlpool of India Limited","126871830","95153872","    75.00","31717958","0","     0.00","     0.00","23-Nov-2020 11:30:27","831625","125739681","0.66"
"Williamson Magor & Company Limited","10956360","6794443","    62.01","4161917","0","     0.00","     0.00","23-Nov-2020 11:30:08","87483","10529639","0.83"
"Windsor Machines Limited","64931800","38000012","    58.52","26931788","19479539","    51.26","    30.00","23-Nov-2020 11:30:29","21980401","64107183","34.29"
"Winsome Yarns Limited","70707229","27339609","    38.67","43367620","25979609","    95.03","    36.74","23-Nov-2020 11:30:29","26066120","69929482","37.27"
"Wipro Limited","5714950888","4251848888","    74.40","1463102000","0","     0.00","     0.00","23-Nov-2020 11:30:10","17867882","5706444212","0.31"
"Wockhardt Limited","110756953","79878676","    72.12","30878277","17900000","    22.41","    16.16","23-Nov-2020 11:30:17","18998692","110156144","17.25"
"Wonderla Holidays Limited","56532438","39444948","    69.77","17087490","0","     0.00","     0.00","23-Nov-2020 11:30:30","863933","56532381","1.53"
"XL Energy Limited","22774397","5063579","    22.23","17710818","5053453","    99.80","    22.19","23-Nov-2020 11:30:23","5165813","22765797","22.69"
